SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,Algorithm,InputType,TransmissionPower
75,0,0,10,AODV,ELGAMAL,Simple,7.5
76,0,0,10,AODV,ELGAMAL,Simple,7.5
77,0,0,10,AODV,ELGAMAL,Simple,7.5
78,0,0,10,AODV,ELGAMAL,Simple,7.5
79,0,0,10,AODV,ELGAMAL,Simple,7.5
80,0,0,10,AODV,ELGAMAL,Simple,7.5
81,0,0,10,AODV,ELGAMAL,Simple,7.5
82,0,0,10,AODV,ELGAMAL,Simple,7.5
83,0,0,10,AODV,ELGAMAL,Simple,7.5
84,0,0,10,AODV,ELGAMAL,Simple,7.5
85,0,0,10,AODV,ELGAMAL,Simple,7.5
86,0,0,10,AODV,ELGAMAL,Simple,7.5
87,0,0,10,AODV,ELGAMAL,Simple,7.5
88,0,0,10,AODV,ELGAMAL,Simple,7.5
89,0,0,10,AODV,ELGAMAL,Simple,7.5
90,0,0,10,AODV,ELGAMAL,Simple,7.5
91,0,0,10,AODV,ELGAMAL,Simple,7.5
92,0,0,10,AODV,ELGAMAL,Simple,7.5
93,0,0,10,AODV,ELGAMAL,Simple,7.5
94,0,0,10,AODV,ELGAMAL,Simple,7.5
95,0,0,10,AODV,ELGAMAL,Simple,7.5
96,0,0,10,AODV,ELGAMAL,Simple,7.5
97,0,0,10,AODV,ELGAMAL,Simple,7.5
98,0,0,10,AODV,ELGAMAL,Simple,7.5
99,0,0,10,AODV,ELGAMAL,Simple,7.5
100,0,0,10,AODV,ELGAMAL,Simple,7.5
101,0,0,10,AODV,ELGAMAL,Simple,7.5
102,0,0,10,AODV,ELGAMAL,Simple,7.5
103,28.728,7,10,AODV,ELGAMAL,Simple,7.5
104,4.104,1,10,AODV,ELGAMAL,Simple,7.5
105,32.832,8,10,AODV,ELGAMAL,Simple,7.5
106,0,0,10,AODV,ELGAMAL,Simple,7.5
107,24.624,6,10,AODV,ELGAMAL,Simple,7.5
108,0,0,10,AODV,ELGAMAL,Simple,7.5
109,28.728,7,10,AODV,ELGAMAL,Simple,7.5
110,0,0,10,AODV,ELGAMAL,Simple,7.5
111,24.624,6,10,AODV,ELGAMAL,Simple,7.5
112,0,0,10,AODV,ELGAMAL,Simple,7.5
113,16.416,4,10,AODV,ELGAMAL,Simple,7.5
114,0,0,10,AODV,ELGAMAL,Simple,7.5
115,20.52,5,10,AODV,ELGAMAL,Simple,7.5
116,0,0,10,AODV,ELGAMAL,Simple,7.5
117,24.624,6,10,AODV,ELGAMAL,Simple,7.5
118,0,0,10,AODV,ELGAMAL,Simple,7.5
119,28.728,7,10,AODV,ELGAMAL,Simple,7.5
120,0,0,10,AODV,ELGAMAL,Simple,7.5
121,24.624,6,10,AODV,ELGAMAL,Simple,7.5
122,0,0,10,AODV,ELGAMAL,Simple,7.5
123,24.624,6,10,AODV,ELGAMAL,Simple,7.5
124,0,0,10,AODV,ELGAMAL,Simple,7.5
125,16.416,4,10,AODV,ELGAMAL,Simple,7.5
126,0,0,10,AODV,ELGAMAL,Simple,7.5
127,20.52,5,10,AODV,ELGAMAL,Simple,7.5
128,0,0,10,AODV,ELGAMAL,Simple,7.5
129,24.624,6,10,AODV,ELGAMAL,Simple,7.5
130,0,0,10,AODV,ELGAMAL,Simple,7.5
131,20.52,5,10,AODV,ELGAMAL,Simple,7.5
132,0,0,10,AODV,ELGAMAL,Simple,7.5
133,20.52,5,10,AODV,ELGAMAL,Simple,7.5
134,4.104,1,10,AODV,ELGAMAL,Simple,7.5
135,24.624,6,10,AODV,ELGAMAL,Simple,7.5
136,0,0,10,AODV,ELGAMAL,Simple,7.5
137,24.624,6,10,AODV,ELGAMAL,Simple,7.5
138,0,0,10,AODV,ELGAMAL,Simple,7.5
139,20.52,5,10,AODV,ELGAMAL,Simple,7.5
140,0,0,10,AODV,ELGAMAL,Simple,7.5
141,20.52,5,10,AODV,ELGAMAL,Simple,7.5
142,0,0,10,AODV,ELGAMAL,Simple,7.5
143,20.52,5,10,AODV,ELGAMAL,Simple,7.5
144,0,0,10,AODV,ELGAMAL,Simple,7.5
145,24.624,6,10,AODV,ELGAMAL,Simple,7.5
146,0,0,10,AODV,ELGAMAL,Simple,7.5
147,12.312,3,10,AODV,ELGAMAL,Simple,7.5
148,4.104,1,10,AODV,ELGAMAL,Simple,7.5
149,16.416,4,10,AODV,ELGAMAL,Simple,7.5
150,0,0,10,AODV,ELGAMAL,Simple,7.5
151,12.312,3,10,AODV,ELGAMAL,Simple,7.5
152,0,0,10,AODV,ELGAMAL,Simple,7.5
153,12.312,3,10,AODV,ELGAMAL,Simple,7.5
154,0,0,10,AODV,ELGAMAL,Simple,7.5
155,20.52,5,10,AODV,ELGAMAL,Simple,7.5
156,0,0,10,AODV,ELGAMAL,Simple,7.5
157,16.416,4,10,AODV,ELGAMAL,Simple,7.5
158,0,0,10,AODV,ELGAMAL,Simple,7.5
159,16.416,4,10,AODV,ELGAMAL,Simple,7.5
160,0,0,10,AODV,ELGAMAL,Simple,7.5
161,8.208,2,10,AODV,ELGAMAL,Simple,7.5
162,0,0,10,AODV,ELGAMAL,Simple,7.5
163,20.52,5,10,AODV,ELGAMAL,Simple,7.5
164,0,0,10,AODV,ELGAMAL,Simple,7.5
165,12.312,3,10,AODV,ELGAMAL,Simple,7.5
166,0,0,10,AODV,ELGAMAL,Simple,7.5
167,16.416,4,10,AODV,ELGAMAL,Simple,7.5
168,0,0,10,AODV,ELGAMAL,Simple,7.5
169,12.312,3,10,AODV,ELGAMAL,Simple,7.5
170,0,0,10,AODV,ELGAMAL,Simple,7.5
171,20.52,5,10,AODV,ELGAMAL,Simple,7.5
172,0,0,10,AODV,ELGAMAL,Simple,7.5
173,12.312,3,10,AODV,ELGAMAL,Simple,7.5
174,0,0,10,AODV,ELGAMAL,Simple,7.5
175,12.312,3,10,AODV,ELGAMAL,Simple,7.5
176,0,0,10,AODV,ELGAMAL,Simple,7.5
177,12.312,3,10,AODV,ELGAMAL,Simple,7.5
178,4.104,1,10,AODV,ELGAMAL,Simple,7.5
179,4.104,1,10,AODV,ELGAMAL,Simple,7.5
180,0,0,10,AODV,ELGAMAL,Simple,7.5
181,16.416,4,10,AODV,ELGAMAL,Simple,7.5
182,0,0,10,AODV,ELGAMAL,Simple,7.5
183,12.312,3,10,AODV,ELGAMAL,Simple,7.5
184,0,0,10,AODV,ELGAMAL,Simple,7.5
185,12.312,3,10,AODV,ELGAMAL,Simple,7.5
186,0,0,10,AODV,ELGAMAL,Simple,7.5
187,16.416,4,10,AODV,ELGAMAL,Simple,7.5
188,0,0,10,AODV,ELGAMAL,Simple,7.5
189,8.208,2,10,AODV,ELGAMAL,Simple,7.5
190,8.208,2,10,AODV,ELGAMAL,Simple,7.5
191,8.208,2,10,AODV,ELGAMAL,Simple,7.5
192,4.104,1,10,AODV,ELGAMAL,Simple,7.5
193,8.208,2,10,AODV,ELGAMAL,Simple,7.5
194,0,0,10,AODV,ELGAMAL,Simple,7.5
195,12.312,3,10,AODV,ELGAMAL,Simple,7.5
196,0,0,10,AODV,ELGAMAL,Simple,7.5
197,16.416,4,10,AODV,ELGAMAL,Simple,7.5
198,0,0,10,AODV,ELGAMAL,Simple,7.5
199,16.416,4,10,AODV,ELGAMAL,Simple,7.5
